symbol,name,sector_group,sector_name,industry_code,industry_name
000010,신한은행,bank,은행,641,은행 및 저축기관
000030,우리은행,bank,은행,641,은행 및 저축기관
000060,메리츠화재해상보험,insurance,보험,651,보험업
000110,한국스탠다드차타드은행,bank,은행,641,은행 및 저축기관
001140,국보,general,일반,493,도로 화물 운송업
001880,디엘건설,general,일반,411,건물 건설업
001890,에이치디씨영창,general,일반,332,악기 제조업
001970,에스지신성건설,general,일반,412,토목 건설업
002550,KB손해보험,insurance,보험,651,보험업
003410,쌍용씨앤이,general,일반,233,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003450,케이비증권,securities,증권,661,금융 지원 서비스업
003560,아이에이치큐,general,일반,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업"
004940,하나은행,bank,은행,641,은행 및 저축기관
005270,아이엠뱅크,bank,은행,641,은행 및 저축기관
005280,부산은행,bank,은행,641,은행 및 저축기관
005450,신한,general,일반,411,건물 건설업
006350,전북은행,bank,은행,641,은행 및 저축기관
006580,대양제지공업,general,일반,171,"펄프, 종이 및 판지 제조업"
008110,대동전자,general,일반,264,통신 및 방송 장비 제조업
008120,엠소닉,general,일반,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
008270,산은캐피탈,finance,금융기타,649,기타 금융업
008560,메리츠증권,securities,증권,661,금융 지원 서비스업
008670,신한투자증권,securities,증권,661,금융 지원 서비스업
010420,한솔피엔에스,general,일반,467,기타 전문 도매업
010600,웰바이오텍,general,일반,461,상품 중개업
011160,두산건설,general,일반,411,건물 건설업
011400,아진카인텍,general,일반,303,자동차 신품 부품 제조업
012600,청호ICT,general,일반,291,일반 목적용 기계 제조업
016830,한국씨티은행,bank,은행,641,은행 및 저축기관
019440,세아특수강,general,일반,241,1차 철강 제조업
019590,엠벤처투자,finance,금융기타,642,신탁업 및 집합 투자업
021960,케이비캐피탈,finance,금융기타,649,기타 금융업
023460,CNH,general,일반,649,기타 금융업
024810,이화전기,general,일반,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업"
032040,씨앤에스자산관리,general,일반,759,기타 사업 지원 서비스업
032710,신한카드,finance,금융기타,649,기타 금융업
033180,KH 필룩스,general,일반,262,전자 부품 제조업
033430,디에스티,general,일반,292,특수 목적용 기계 제조업
033630,에스케이브로드밴드,general,일반,612,전기 통신업
033660,우리금융캐피탈,finance,금융기타,649,기타 금융업
034300,신세계건설,general,일반,411,건물 건설업
035430,드림라인,general,일반,612,전기 통신업
036180,지더블유바이텍,general,일반,465,기계장비 및 관련 물품 도매업
037340,에이치씨코퍼레이션,general,일반,264,통신 및 방송장비 제조업
038340,MIT,general,일반,262,전자 부품 제조업
042670,HD현대인프라코어,general,일반,292,특수 목적용 기계 제조업
046110,한일네트웍스,general,일반,631,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업"
046400,휴스토리,general,일반,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
047730,텔라움,general,일반,264,통신 및 방송장비 제조업
048260,오스템임플란트,general,일반,271,의료용 기기 제조업
049770,동원F&B,general,일반,108,동물용 사료 및 조제식품 제조업
050540,엠피씨플러스,general,일반,759,기타 사업 지원 서비스업
051310,플랜텍,general,일반,412,토목 건설업
052190,세영디앤씨,general,일반,901,창작 및 예술관련 서비스업
052270,우전,general,일반,262,전자 부품 제조업
054340,피앤텔,general,일반,264,통신 및 방송장비 제조업
054630,에이디칩스,general,일반,339,그 외 기타 제품 제조업
057500,에스케이엔펄스,general,일반,262,전자 부품 제조업
057880,푸른소나무,general,일반,474,"섬유, 의복, 신발 및 가죽제품 소매업"
058530,파나케이아,general,일반,292,특수 목적용 기계 제조업
060000,국민은행,bank,은행,641,은행 및 저축기관
062860,티엘아이,general,일반,261,반도체 제조업
064510,유네코,general,일반,292,특수 목적용 기계 제조업
065560,녹원씨엔아이,general,일반,181,인쇄 및 인쇄관련 산업
068060,케이씨더블류,general,일반,681,부동산 임대 및 공급업
068400,에스케이렌터카,general,일반,761,운송장비 임대업
068420,엔터미디어,general,일반,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
071460,위니아,general,일반,285,가정용 기기 제조업
072520,제넨바이오,general,일반,464,생활용품 도매업
078940,퀀타피아,general,일반,464,생활용품 도매업
089530,에이티세미콘,general,일반,739,"그 외 기타 전문, 과학 및 기술 서비스업"
090120,잘만테크,general,일반,263,컴퓨터 및 주변 장치 제조업
090740,와이앤넥스트,general,일반,262,전자 부품 제조업
091090,세원이앤씨,general,일반,251,"구조용 금속제품, 탱크 및 증기발생기 제조업"
093230,이아이디,general,일반,467,기타 전문 도매업
094190,이엘케이,general,일반,262,전자 부품 제조업
096040,이트론,general,일반,467,기타 전문 도매업
102210,트레스,general,일반,311,선박 및 보트 건조업
102280,쌍방울,general,일반,141,봉제의복 제조업
103160,풀무원식품,general,일반,46,도매 및 상품 중개업
111820,지유온,general,일반,639,기타 정보 서비스업
111870,KH 미래물산,general,일반,265,영상 및 음향 기기 제조업
112240,에스에프씨,general,일반,222,플라스틱 제품 제조업
115390,락앤락,general,일반,222,플라스틱 제품 제조업
115960,연우,general,일반,222,플라스틱 제품 제조업
119860,커넥트웨이브,general,일반,582,소프트웨어 개발 및 공급업
126870,뉴로스,general,일반,291,일반 목적용 기계 제조업
134780,에스엠화진,general,일반,303,자동차 신품 부품 제조업
136510,스마트솔루션즈,general,일반,292,특수 목적용 기계 제조업
138490,코오롱ENP,general,일반,202,합성고무 및 플라스틱 물질 제조업
138580,비즈니스온커뮤니케이션,general,일반,582,소프트웨어 개발 및 공급업
139050,BF랩스,general,일반,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
148140,비디아이,general,일반,291,일반 목적용 기계 제조업
150840,인트로메딕,general,일반,271,의료용 기기 제조업
151910,퓨처코어,general,일반,262,전자 부품 제조업
160600,이큐셀,general,일반,292,특수 목적용 기계 제조업
